event_family,company_code,company_name,package_id,event_id,evidence_index,page,evidence_role,evidence_text,review_status
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,1,36,decision,2019年12月4日，公司召开2019年第二次临时股东大会，审议通过《关于公司增资扩股的议案》。,CONFIRMED
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,2,36,capital_change,"公司注册资本由8,150万元增加至8,498万元，新增注册资本348万元。",CONFIRMED
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,3,36,participant,新增注册资本由新股东三联合伙认购。,CONFIRMED
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,4,36,price,三联合伙以每股4.50元的价格认购。,CONFIRMED
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,5,38,registration,2019年12月17日，本次增资经市场监督管理部门核准并换发营业执照。,CONFIRMED
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,6,38,verification,"2020年1月9日，验资报告确认截至2019年12月30日已收到三联合伙货币出资1,566万元，其中348万元计入注册资本，1,218万元计入资本公积。",CONFIRMED
subscription_flow,001282,三联锻造,001282_subscription_flow_001,001282_subscription_flow_001_evt_001,7,38,post_event_snapshot,"增资完成后公司总股本为8,498万股，三联合伙持有348万股、持股比例4.10%。",CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,1,59,agreement,2018年6月12日，发行人与相关投资方签署《增资与股权转让协议》，约定相关方对发行人增资。,CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,2,59,participant,国科瑞华、CASREV FUND、中科贵银、夏东、南山富海和珠海拓域分别以现金认缴新增注册资本。,CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,3,59,price,上述增资和股权转让的每股价格约为29.13元。,CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,4,59,decision,发行人于2018年6月12日召开2018年第一次临时股东大会并通过决议。,CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,5,60,participant,李文发、秦国君、李剑峰、周雪峰认缴新增注册资本共计120万元，每股价格1元。,CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,6,60,registration,"2018年6月28日完成第一批增资工商变更，注册资本由4,000万元增至4,264.3373万元；2018年7月27日完成第二批增资工商变更，注册资本增至4,635万元。",CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,7,60,verification,2020年12月16日，容诚会计师出具验资报告，对本次增资进行了验证。,CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,8,60,post_event_snapshot,本次变更完成后，公司股权结构表开始于第60页并延续至第61页。,CONFIRMED
subscription_flow,301563,云汉芯城,301563_subscription_flow_001,301563_subscription_flow_001_evt_001,9,61,post_event_snapshot,"变更后股权结构合计46,350,000股，占比100.00%。",CONFIRMED
subscription_flow,301581,黄山谷捷,301581_subscription_flow_001,301581_subscription_flow_001_evt_001,1,43,decision,"2021年4月7日，谷捷有限召开股东会，吸收合并后谷捷有限的注册资本变更为1,200万元。",CONFIRMED
subscription_flow,301581,黄山谷捷,301581_subscription_flow_001,301581_subscription_flow_001_evt_001,2,43,agreement,2021年4月7日，谷捷有限与昆山谷捷再次签订《吸收合并协议》，进一步明确双方权利义务等条款。,CONFIRMED
subscription_flow,301581,黄山谷捷,301581_subscription_flow_001,301581_subscription_flow_001_evt_001,3,43,registration,2021年4月13日，谷捷有限取得黄山市徽州区市场监督管理局换发的营业执照。,CONFIRMED
subscription_flow,301581,黄山谷捷,301581_subscription_flow_001,301581_subscription_flow_001_evt_001,4,44,verification,2022年11月16日，中审众环会计师出具《验资报告》，确认截至2021年9月7日，谷捷有限已收到全体股东新增实收资本200万元，由股东以被合并方昆山谷捷的账面净资产出资。,CONFIRMED
subscription_flow,301581,黄山谷捷,301581_subscription_flow_001,301581_subscription_flow_001_evt_001,5,44,participant,本次吸收合并的新增实收资本来源于被合并方昆山谷捷的账面净资产。,CONFIRMED
subscription_flow,301581,黄山谷捷,301581_subscription_flow_001,301581_subscription_flow_001_evt_001,6,44,post_event_snapshot,"吸收合并前谷捷有限注册资本为1,000万元、昆山谷捷注册资本为200万元；吸收合并后谷捷有限注册资本为1,200万元。",CONFIRMED
subscription_flow,688758,赛分科技,688758_subscription_flow_001,688758_subscription_flow_001_evt_001,1,56,decision,"2021年2月25日，赛分有限召开股东会并作出决议，同意公司注册资本增加342.6769万元至2,750.6769万元。",CONFIRMED
subscription_flow,688758,赛分科技,688758_subscription_flow_001,688758_subscription_flow_001_evt_001,2,56,participant,新增注册资本由国寿疌泉、复星惟盈、唐斌、张敏认购。,CONFIRMED
subscription_flow,688758,赛分科技,688758_subscription_flow_001,688758_subscription_flow_001_evt_001,3,56,agreement,2021年2月26日，国寿疌泉、复星惟盈、唐斌、张敏与发行人签署增资协议。,CONFIRMED
subscription_flow,688758,赛分科技,688758_subscription_flow_001,688758_subscription_flow_001_evt_001,4,56,price,本次增资价格为53.99元/注册资本。,CONFIRMED
subscription_flow,688758,赛分科技,688758_subscription_flow_001,688758_subscription_flow_001_evt_001,5,56,payment,2021年3月9日，四名认购方向公司支付完毕全部增资款。,CONFIRMED
subscription_flow,688758,赛分科技,688758_subscription_flow_001,688758_subscription_flow_001_evt_001,6,56,registration,2021年4月20日，公司办理完毕工商变更登记并取得换发的营业执照。,CONFIRMED
subscription_flow,688758,赛分科技,688758_subscription_flow_001,688758_subscription_flow_001_evt_001,7,57,post_event_snapshot,"本次增资和股权转让完成后，赛分有限注册资本合计2,750.6769万元。",CONFIRMED
subscription_flow,920100,三协电机,920100_subscription_flow_001,920100_subscription_flow_001_evt_001,1,31,decision,2022年7月9日，公司召开2022年第一次临时股东大会，审议通过股票定向发行相关议案。,CONFIRMED
subscription_flow,920100,三协电机,920100_subscription_flow_001,920100_subscription_flow_001_evt_001,2,31,capital_change,"本次股票发行价格为4.48元/股，共发行普通股530.00万股，募集资金总额为2,374.40万元。",CONFIRMED
subscription_flow,920100,三协电机,920100_subscription_flow_001,920100_subscription_flow_001_evt_001,3,32,verification,"2022年8月15日，苏亚金诚出具《验资报告》，经审验，截至2022年8月9日，公司已收到稳正景明、长泽创投缴纳的出资款2,374.40万元。",CONFIRMED
subscription_flow,920100,三协电机,920100_subscription_flow_001,920100_subscription_flow_001_evt_001,4,32,registration,本次股票发行新增股份于2022年9月1日在股转系统挂牌并公开转让。,CONFIRMED
subscription_flow,920100,三协电机,920100_subscription_flow_001,920100_subscription_flow_001_evt_001,5,250,capital_change,"本次募集资金总额为2,374.40万元，以货币资金形式认缴，其中530.00万元计入注册资本，1,844.40万元增加资本公积。",CONFIRMED
subscription_flow,920100,三协电机,920100_subscription_flow_001,920100_subscription_flow_001_evt_001,6,250,post_event_snapshot,"本次发行完成后公司注册资本为3,530.00万元；发行前股份总数为3,000.00万元，本期发行新股530.00万元。",CONFIRMED
subscription_flow,920116,星图测控,920116_subscription_flow_002,920116_subscription_flow_002_evt_001,1,217,decision,"2020年9月30日，星图测控有限召开股东会并作出决议，同意星图测控有限的注册资本由2,000.00万元增至2,434.00万元。",CONFIRMED
subscription_flow,920116,星图测控,920116_subscription_flow_002,920116_subscription_flow_002_evt_001,2,217,participant,新增注册资本434.00万元全部由中科星图以货币形式认缴。,CONFIRMED
subscription_flow,920116,星图测控,920116_subscription_flow_002,920116_subscription_flow_002_evt_001,3,217,payment,中科星图以货币651.00万元认缴，其中434.00万元计入星图测控有限注册资本，余下217.00万元计入资本公积。,CONFIRMED
subscription_flow,920116,星图测控,920116_subscription_flow_002,920116_subscription_flow_002_evt_001,4,217,capital_change,本次增资导致2020年末公司股本增加434.00万元。,CONFIRMED
share_transfer_flow,301581,黄山谷捷,301581_share_transfer_flow_001,301581_share_transfer_flow_001_evt_001,1,42,target_confirmation,昆山谷捷将其所持谷捷有限78%、11%、11%的股权以零对价分别转让给黄山供销集团、张俊武、周斌。,CONFIRMED
share_transfer_flow,301581,黄山谷捷,301581_share_transfer_flow_001,301581_share_transfer_flow_001_evt_001,2,42,decision,2021年4月3日，谷捷有限股东昆山谷捷作出股东决定，同意昆山谷捷进行股权转让。,CONFIRMED
share_transfer_flow,301581,黄山谷捷,301581_share_transfer_flow_001,301581_share_transfer_flow_001_evt_001,3,42,agreement,同日，昆山谷捷分别与黄山供销集团、张俊武、周斌签署了股权转让相关协议。,CONFIRMED
share_transfer_flow,301581,黄山谷捷,301581_share_transfer_flow_001,301581_share_transfer_flow_001_evt_001,4,42,registration,2021年4月7日，谷捷有限取得了黄山市徽州区市场监督管理局为其换发的营业执照。,CONFIRMED
share_transfer_flow,301581,黄山谷捷,301581_share_transfer_flow_001,301581_share_transfer_flow_001_evt_001,5,42,post_event_snapshot,本次股权转让后，黄山供销集团、张俊武、周斌分别持有谷捷有限78%、11%、11%的股权，合计100%。,CONFIRMED
share_transfer_flow,301581,黄山谷捷,301581_share_transfer_flow_001,301581_share_transfer_flow_001_evt_001,6,42,price,本次股权转让价格为0元。,CONFIRMED
share_transfer_flow,603418,友升股份,603418_share_transfer_flow_001,603418_share_transfer_flow_001_evt_001,1,48,target_confirmation,第一美亚将其持有的友升有限55%股权转让给美国日升。,CONFIRMED
share_transfer_flow,603418,友升股份,603418_share_transfer_flow_001,603418_share_transfer_flow_001_evt_001,2,48,agreement,2003年7月30日，第一美亚与美国日升签署《股权转让协议》。,CONFIRMED
share_transfer_flow,603418,友升股份,603418_share_transfer_flow_001,603418_share_transfer_flow_001_evt_001,3,48,transferor,第一美亚不再持有友升有限股权。,CONFIRMED
share_transfer_flow,603418,友升股份,603418_share_transfer_flow_001,603418_share_transfer_flow_001_evt_001,4,48,transferee,本次股权转让后，罗世兵通过美国日升间接持有友升有限55%股权。,CONFIRMED
share_transfer_flow,603418,友升股份,603418_share_transfer_flow_001,603418_share_transfer_flow_001_evt_001,5,48,ratio,第一美亚向美国日升转让其所持有的友升有限55%股权。,CONFIRMED
share_transfer_flow,603418,友升股份,603418_share_transfer_flow_001,603418_share_transfer_flow_001_evt_001,6,48,price,该次转让系由罗世兵同一控制下的两家企业进行的转让，未支付对价。,CONFIRMED
share_transfer_flow,603418,友升股份,603418_share_transfer_flow_001,603418_share_transfer_flow_001_evt_001,7,48,pre_event_snapshot,转让前第一美亚持有友升有限55%股权。,CONFIRMED
share_transfer_flow,603418,友升股份,603418_share_transfer_flow_001,603418_share_transfer_flow_001_evt_001,8,48,post_event_snapshot,转让后第一美亚不再持有友升有限股权，罗世兵通过美国日升间接持有友升有限55%股权。,CONFIRMED
equity_snapshot,301581,黄山谷捷,301581_equity_snapshot_003,301581_equity_snapshot_003_evt_001,1,59,issuer_confirmation,本次发行前，发行人前十名股东的持股情况如下。,CONFIRMED
equity_snapshot,301581,黄山谷捷,301581_equity_snapshot_003,301581_equity_snapshot_003_evt_001,2,59,holder_table,股东姓名/名称、持股数量（万股）、持股比例表。,CONFIRMED
equity_snapshot,301581,黄山谷捷,301581_equity_snapshot_003,301581_equity_snapshot_003_evt_001,3,59,total,"合计6,000.00万股，100.0000%。",CONFIRMED
equity_snapshot,688775,影石创新,688775_equity_snapshot_002,688775_equity_snapshot_002_evt_001,1,98,issuer_confirmation,"本次发行前，公司的总股本为36,000.00万股。",CONFIRMED
equity_snapshot,688775,影石创新,688775_equity_snapshot_002,688775_equity_snapshot_002_evt_001,2,99,holder_table,本次发行前后，公司股本结构如下。,CONFIRMED
equity_snapshot,688775,影石创新,688775_equity_snapshot_002,688775_equity_snapshot_002_evt_001,3,99,total,"发行前合计36,000.00万股，持股比例100.00%。",CONFIRMED
