company_code,event_family,stage,returncode,command,stdout,stderr
603418,subscription_flow,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_subscription_flow_frozen_v1.py --packages outputs\candidates\603418_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\603418_友升股份_IPO招股说明书.pdf --output-jsonl outputs\structured\603418_subscription_flow_frozen_v1.jsonl --output-log outputs\logs\603418_subscription_flow_frozen_v1_log.csv,"packages_input=8
subscription_packages=2
records_output=2
needs_manual_review=2
errors=0
output_jsonl=outputs\structured\603418_subscription_flow_frozen_v1.jsonl
output_log=outputs\logs\603418_subscription_flow_frozen_v1_log.csv",
603418,subscription_flow,validate,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\subscription_flow.schema.json --input outputs\structured\603418_subscription_flow_frozen_v1.jsonl --output outputs\validation\603418_subscription_flow_frozen_v1_validation.csv,"schema=schemas\subscription_flow.schema.json
input=outputs\structured\603418_subscription_flow_frozen_v1.jsonl
output=outputs\validation\603418_subscription_flow_frozen_v1_validation.csv
records=2
valid=2
invalid=0",
603418,share_transfer_flow,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_share_transfer_flow_frozen_v1.py --packages outputs\candidates\603418_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\603418_友升股份_IPO招股说明书.pdf --output-jsonl outputs\structured\603418_share_transfer_flow_frozen_v1.jsonl --output-log outputs\logs\603418_share_transfer_flow_frozen_v1_log.csv,"packages_input=8
share_transfer_packages=1
records_output=1
needs_manual_review=1
errors=0
output_jsonl=outputs\structured\603418_share_transfer_flow_frozen_v1.jsonl
output_log=outputs\logs\603418_share_transfer_flow_frozen_v1_log.csv",
603418,share_transfer_flow,validate,1,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\share_transfer_flow.schema.json --input outputs\structured\603418_share_transfer_flow_frozen_v1.jsonl --output outputs\validation\603418_share_transfer_flow_frozen_v1_validation.csv,"schema=schemas\share_transfer_flow.schema.json
input=outputs\structured\603418_share_transfer_flow_frozen_v1.jsonl
output=outputs\validation\603418_share_transfer_flow_frozen_v1_validation.csv
records=1
valid=0
invalid=1",
603418,equity_snapshot,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_equity_snapshot_v1.py --packages outputs\candidates\603418_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\603418_友升股份_IPO招股说明书.pdf --output-jsonl outputs\structured\603418_equity_snapshot_v1.jsonl --output-log outputs\logs\603418_equity_snapshot_v1_log.csv,"packages_input=8
equity_snapshot_packages=3
records_output=3
needs_manual_review=3
errors=0
output_jsonl=outputs\structured\603418_equity_snapshot_v1.jsonl
output_log=outputs\logs\603418_equity_snapshot_v1_log.csv",
603418,equity_snapshot,validate,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\equity_snapshot.schema.json --input outputs\structured\603418_equity_snapshot_v1.jsonl --output outputs\validation\603418_equity_snapshot_v1_validation.csv,"schema=schemas\equity_snapshot.schema.json
input=outputs\structured\603418_equity_snapshot_v1.jsonl
output=outputs\validation\603418_equity_snapshot_v1_validation.csv
records=3
valid=3
invalid=0",
001282,subscription_flow,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_subscription_flow_frozen_v1.py --packages outputs\candidates\001282_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\001282_三联锻造_IPO招股说明书.pdf --output-jsonl outputs\structured\001282_subscription_flow_frozen_v1.jsonl --output-log outputs\logs\001282_subscription_flow_frozen_v1_log.csv,"packages_input=7
subscription_packages=1
records_output=1
needs_manual_review=1
errors=0
output_jsonl=outputs\structured\001282_subscription_flow_frozen_v1.jsonl
output_log=outputs\logs\001282_subscription_flow_frozen_v1_log.csv",
001282,subscription_flow,validate,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\subscription_flow.schema.json --input outputs\structured\001282_subscription_flow_frozen_v1.jsonl --output outputs\validation\001282_subscription_flow_frozen_v1_validation.csv,"schema=schemas\subscription_flow.schema.json
input=outputs\structured\001282_subscription_flow_frozen_v1.jsonl
output=outputs\validation\001282_subscription_flow_frozen_v1_validation.csv
records=1
valid=1
invalid=0",
001282,share_transfer_flow,extract,3,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_share_transfer_flow_frozen_v1.py --packages outputs\candidates\001282_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\001282_三联锻造_IPO招股说明书.pdf --output-jsonl outputs\structured\001282_share_transfer_flow_frozen_v1.jsonl --output-log outputs\logs\001282_share_transfer_flow_frozen_v1_log.csv,"packages_input=7
share_transfer_packages=0
records_output=0
needs_manual_review=0
errors=0
output_jsonl=outputs\structured\001282_share_transfer_flow_frozen_v1.jsonl
output_log=outputs\logs\001282_share_transfer_flow_frozen_v1_log.csv",û���ҵ�����������share_transfer_flow�¼�����
001282,share_transfer_flow,validate,3,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\share_transfer_flow.schema.json --input outputs\structured\001282_share_transfer_flow_frozen_v1.jsonl --output outputs\validation\001282_share_transfer_flow_frozen_v1_validation.csv,"schema=schemas\share_transfer_flow.schema.json
input=outputs\structured\001282_share_transfer_flow_frozen_v1.jsonl
output=outputs\validation\001282_share_transfer_flow_frozen_v1_validation.csv
records=0
valid=0
invalid=0",���棺�����ļ���û�п�У���¼��
001282,equity_snapshot,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_equity_snapshot_v1.py --packages outputs\candidates\001282_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\001282_三联锻造_IPO招股说明书.pdf --output-jsonl outputs\structured\001282_equity_snapshot_v1.jsonl --output-log outputs\logs\001282_equity_snapshot_v1_log.csv,"packages_input=7
equity_snapshot_packages=3
records_output=3
needs_manual_review=3
errors=0
output_jsonl=outputs\structured\001282_equity_snapshot_v1.jsonl
output_log=outputs\logs\001282_equity_snapshot_v1_log.csv",
001282,equity_snapshot,validate,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\equity_snapshot.schema.json --input outputs\structured\001282_equity_snapshot_v1.jsonl --output outputs\validation\001282_equity_snapshot_v1_validation.csv,"schema=schemas\equity_snapshot.schema.json
input=outputs\structured\001282_equity_snapshot_v1.jsonl
output=outputs\validation\001282_equity_snapshot_v1_validation.csv
records=3
valid=3
invalid=0",
688758,subscription_flow,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_subscription_flow_frozen_v1.py --packages outputs\candidates\688758_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\688758_赛分科技_IPO招股说明书.pdf --output-jsonl outputs\structured\688758_subscription_flow_frozen_v1.jsonl --output-log outputs\logs\688758_subscription_flow_frozen_v1_log.csv,"packages_input=13
subscription_packages=3
records_output=3
needs_manual_review=3
errors=0
output_jsonl=outputs\structured\688758_subscription_flow_frozen_v1.jsonl
output_log=outputs\logs\688758_subscription_flow_frozen_v1_log.csv",
688758,subscription_flow,validate,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\subscription_flow.schema.json --input outputs\structured\688758_subscription_flow_frozen_v1.jsonl --output outputs\validation\688758_subscription_flow_frozen_v1_validation.csv,"schema=schemas\subscription_flow.schema.json
input=outputs\structured\688758_subscription_flow_frozen_v1.jsonl
output=outputs\validation\688758_subscription_flow_frozen_v1_validation.csv
records=3
valid=3
invalid=0",
688758,share_transfer_flow,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_share_transfer_flow_frozen_v1.py --packages outputs\candidates\688758_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\688758_赛分科技_IPO招股说明书.pdf --output-jsonl outputs\structured\688758_share_transfer_flow_frozen_v1.jsonl --output-log outputs\logs\688758_share_transfer_flow_frozen_v1_log.csv,"packages_input=13
share_transfer_packages=2
records_output=2
needs_manual_review=2
errors=0
output_jsonl=outputs\structured\688758_share_transfer_flow_frozen_v1.jsonl
output_log=outputs\logs\688758_share_transfer_flow_frozen_v1_log.csv",
688758,share_transfer_flow,validate,1,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\share_transfer_flow.schema.json --input outputs\structured\688758_share_transfer_flow_frozen_v1.jsonl --output outputs\validation\688758_share_transfer_flow_frozen_v1_validation.csv,"schema=schemas\share_transfer_flow.schema.json
input=outputs\structured\688758_share_transfer_flow_frozen_v1.jsonl
output=outputs\validation\688758_share_transfer_flow_frozen_v1_validation.csv
records=2
valid=0
invalid=2",
688758,equity_snapshot,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_equity_snapshot_v1.py --packages outputs\candidates\688758_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\688758_赛分科技_IPO招股说明书.pdf --output-jsonl outputs\structured\688758_equity_snapshot_v1.jsonl --output-log outputs\logs\688758_equity_snapshot_v1_log.csv,"packages_input=13
equity_snapshot_packages=4
records_output=4
needs_manual_review=4
errors=0
output_jsonl=outputs\structured\688758_equity_snapshot_v1.jsonl
output_log=outputs\logs\688758_equity_snapshot_v1_log.csv",
688758,equity_snapshot,validate,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\equity_snapshot.schema.json --input outputs\structured\688758_equity_snapshot_v1.jsonl --output outputs\validation\688758_equity_snapshot_v1_validation.csv,"schema=schemas\equity_snapshot.schema.json
input=outputs\structured\688758_equity_snapshot_v1.jsonl
output=outputs\validation\688758_equity_snapshot_v1_validation.csv
records=4
valid=4
invalid=0",
920100,subscription_flow,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_subscription_flow_frozen_v1.py --packages outputs\candidates\920100_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\920100_三协电机_IPO招股说明书.pdf --output-jsonl outputs\structured\920100_subscription_flow_frozen_v1.jsonl --output-log outputs\logs\920100_subscription_flow_frozen_v1_log.csv,"packages_input=9
subscription_packages=2
records_output=2
needs_manual_review=2
errors=0
output_jsonl=outputs\structured\920100_subscription_flow_frozen_v1.jsonl
output_log=outputs\logs\920100_subscription_flow_frozen_v1_log.csv",
920100,subscription_flow,validate,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\subscription_flow.schema.json --input outputs\structured\920100_subscription_flow_frozen_v1.jsonl --output outputs\validation\920100_subscription_flow_frozen_v1_validation.csv,"schema=schemas\subscription_flow.schema.json
input=outputs\structured\920100_subscription_flow_frozen_v1.jsonl
output=outputs\validation\920100_subscription_flow_frozen_v1_validation.csv
records=2
valid=2
invalid=0",
920100,share_transfer_flow,extract,3,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_share_transfer_flow_frozen_v1.py --packages outputs\candidates\920100_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\920100_三协电机_IPO招股说明书.pdf --output-jsonl outputs\structured\920100_share_transfer_flow_frozen_v1.jsonl --output-log outputs\logs\920100_share_transfer_flow_frozen_v1_log.csv,"packages_input=9
share_transfer_packages=0
records_output=0
needs_manual_review=0
errors=0
output_jsonl=outputs\structured\920100_share_transfer_flow_frozen_v1.jsonl
output_log=outputs\logs\920100_share_transfer_flow_frozen_v1_log.csv",û���ҵ�����������share_transfer_flow�¼�����
920100,share_transfer_flow,validate,3,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\share_transfer_flow.schema.json --input outputs\structured\920100_share_transfer_flow_frozen_v1.jsonl --output outputs\validation\920100_share_transfer_flow_frozen_v1_validation.csv,"schema=schemas\share_transfer_flow.schema.json
input=outputs\structured\920100_share_transfer_flow_frozen_v1.jsonl
output=outputs\validation\920100_share_transfer_flow_frozen_v1_validation.csv
records=0
valid=0
invalid=0",���棺�����ļ���û�п�У���¼��
920100,equity_snapshot,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_equity_snapshot_v1.py --packages outputs\candidates\920100_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\920100_三协电机_IPO招股说明书.pdf --output-jsonl outputs\structured\920100_equity_snapshot_v1.jsonl --output-log outputs\logs\920100_equity_snapshot_v1_log.csv,"packages_input=9
equity_snapshot_packages=3
records_output=3
needs_manual_review=3
errors=0
output_jsonl=outputs\structured\920100_equity_snapshot_v1.jsonl
output_log=outputs\logs\920100_equity_snapshot_v1_log.csv",
920100,equity_snapshot,validate,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\equity_snapshot.schema.json --input outputs\structured\920100_equity_snapshot_v1.jsonl --output outputs\validation\920100_equity_snapshot_v1_validation.csv,"schema=schemas\equity_snapshot.schema.json
input=outputs\structured\920100_equity_snapshot_v1.jsonl
output=outputs\validation\920100_equity_snapshot_v1_validation.csv
records=3
valid=3
invalid=0",
