company_code,company_name,event_family,package_id,reason,priority,status
603418,友升股份,subscription_flow,603418_subscription_flow_001,new_shares_not_found|participant_not_found|registration_capital_change_not_found,MEDIUM,PENDING
603418,友升股份,subscription_flow,603418_subscription_flow_002,new_registered_capital_not_found|new_shares_not_found|participant_not_found|registration_capital_change_not_found|total_consideration_not_found,MEDIUM,PENDING
603418,友升股份,share_transfer_flow,603418_share_transfer_flow_001,decision_date_not_found|transfer_items_not_found|transferor_or_transferee_not_found,MEDIUM,PENDING
603418,友升股份,share_transfer_flow,603418_share_transfer_flow_001_evt_001,schema_invalid,HIGH,PENDING
603418,友升股份,equity_snapshot,603418_equity_snapshot_001,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
603418,友升股份,equity_snapshot,603418_equity_snapshot_002,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
603418,友升股份,equity_snapshot,603418_equity_snapshot_003,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
001282,三联锻造,subscription_flow,001282_subscription_flow_001,new_registered_capital_inferred_by_difference|new_shares_inferred_by_difference|total_shares_inferred_from_registered_capital,MEDIUM,PENDING
001282,三联锻造,equity_snapshot,001282_equity_snapshot_001,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
001282,三联锻造,equity_snapshot,001282_equity_snapshot_002,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
001282,三联锻造,equity_snapshot,001282_equity_snapshot_003,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
688758,赛分科技,subscription_flow,688758_subscription_flow_001,new_shares_not_found|registration_capital_before_inferred_by_difference,MEDIUM,PENDING
688758,赛分科技,subscription_flow,688758_subscription_flow_002,new_registered_capital_not_found|registration_capital_change_not_found|total_consideration_not_found,MEDIUM,PENDING
688758,赛分科技,subscription_flow,688758_subscription_flow_003,new_registered_capital_not_found|registration_capital_change_not_found,MEDIUM,PENDING
688758,赛分科技,share_transfer_flow,688758_share_transfer_flow_001,transfer_items_not_found|transferor_or_transferee_not_found,MEDIUM,PENDING
688758,赛分科技,share_transfer_flow,688758_share_transfer_flow_002,transfer_items_not_found|transferor_or_transferee_not_found,MEDIUM,PENDING
688758,赛分科技,share_transfer_flow,688758_share_transfer_flow_001_evt_001,schema_invalid,HIGH,PENDING
688758,赛分科技,share_transfer_flow,688758_share_transfer_flow_002_evt_001,schema_invalid,HIGH,PENDING
688758,赛分科技,equity_snapshot,688758_equity_snapshot_001,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
688758,赛分科技,equity_snapshot,688758_equity_snapshot_002,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
688758,赛分科技,equity_snapshot,688758_equity_snapshot_003,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
688758,赛分科技,equity_snapshot,688758_equity_snapshot_004,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
920100,三协电机,subscription_flow,920100_subscription_flow_001,registration_capital_before_inferred_by_difference|total_shares_inferred_from_registered_capital,MEDIUM,PENDING
920100,三协电机,subscription_flow,920100_subscription_flow_002,new_registered_capital_not_found|registration_capital_change_not_found,MEDIUM,PENDING
920100,三协电机,equity_snapshot,920100_equity_snapshot_001,holder_table_not_parsed,MEDIUM,PENDING
920100,三协电机,equity_snapshot,920100_equity_snapshot_002,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
920100,三协电机,equity_snapshot,920100_equity_snapshot_003,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
920116,星图测控,subscription_flow,920116_subscription_flow_001,total_shares_inferred_from_registered_capital,MEDIUM,PENDING
920116,星图测控,subscription_flow,920116_subscription_flow_002,new_shares_not_found,MEDIUM,PENDING
920116,星图测控,share_transfer_flow,920116_share_transfer_flow_001,transfer_items_not_found|transferor_or_transferee_not_found,MEDIUM,PENDING
920116,星图测控,share_transfer_flow,920116_share_transfer_flow_001_evt_001,schema_invalid,HIGH,PENDING
920116,星图测控,equity_snapshot,920116_equity_snapshot_001,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
920116,星图测控,equity_snapshot,920116_equity_snapshot_002,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
920116,星图测控,equity_snapshot,920116_equity_snapshot_003,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
301581,黄山谷捷,subscription_flow,301581_subscription_flow_001,registration_capital_before_inferred_by_difference,MEDIUM,PENDING
301581,黄山谷捷,subscription_flow,301581_subscription_flow_002,new_shares_not_found|participant_not_found|registration_capital_change_not_found|total_consideration_not_found,MEDIUM,PENDING
301581,黄山谷捷,subscription_flow,301581_subscription_flow_003,new_shares_not_found|participant_not_found|total_consideration_not_found,MEDIUM,PENDING
301581,黄山谷捷,equity_snapshot,301581_equity_snapshot_001,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
301581,黄山谷捷,equity_snapshot,301581_equity_snapshot_002,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
301581,黄山谷捷,equity_snapshot,301581_equity_snapshot_003,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
301563,云汉芯城,subscription_flow,301563_subscription_flow_001,new_shares_not_found,MEDIUM,PENDING
301563,云汉芯城,subscription_flow,301563_subscription_flow_002,new_registered_capital_inferred_by_difference|participant_not_found,MEDIUM,PENDING
301563,云汉芯城,subscription_flow,301563_subscription_flow_003,new_registered_capital_inferred_by_difference|participant_not_found,MEDIUM,PENDING
301563,云汉芯城,share_transfer_flow,301563_share_transfer_flow_001,decision_date_not_found|transfer_items_not_found|transferor_or_transferee_not_found,MEDIUM,PENDING
301563,云汉芯城,share_transfer_flow,301563_share_transfer_flow_002,transfer_items_not_found|transferor_or_transferee_not_found,MEDIUM,PENDING
301563,云汉芯城,share_transfer_flow,301563_share_transfer_flow_003,decision_date_not_found|transfer_items_not_found|transferor_or_transferee_not_found,MEDIUM,PENDING
301563,云汉芯城,share_transfer_flow,301563_share_transfer_flow_004,agreement_date_not_found|transfer_items_not_found|transferor_or_transferee_not_found,MEDIUM,PENDING
301563,云汉芯城,share_transfer_flow,301563_share_transfer_flow_001_evt_001,schema_invalid,HIGH,PENDING
301563,云汉芯城,share_transfer_flow,301563_share_transfer_flow_002_evt_001,schema_invalid,HIGH,PENDING
301563,云汉芯城,share_transfer_flow,301563_share_transfer_flow_003_evt_001,schema_invalid,HIGH,PENDING
301563,云汉芯城,share_transfer_flow,301563_share_transfer_flow_004_evt_001,schema_invalid,HIGH,PENDING
301563,云汉芯城,equity_snapshot,301563_equity_snapshot_001,holder_table_not_parsed,MEDIUM,PENDING
301563,云汉芯城,equity_snapshot,301563_equity_snapshot_002,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
688775,影石创新,share_transfer_flow,688775_share_transfer_flow_001,agreement_date_not_found|transfer_items_not_found|transferor_or_transferee_not_found,MEDIUM,PENDING
688775,影石创新,share_transfer_flow,688775_share_transfer_flow_001_evt_001,schema_invalid,HIGH,PENDING
688775,影石创新,equity_snapshot,688775_equity_snapshot_001,holder_table_not_parsed,MEDIUM,PENDING
688775,影石创新,equity_snapshot,688775_equity_snapshot_002,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
